"";"survey_finish_time";"Sex";"Condition";"Age";"Year";"City_size";"Education_level";"war1_1_h1_ro1";"war1_1_h1_ro2";"war1_1_h1_ro3";"war1_1_h1_ro4";"war1_1_h1_ro5";"war1_1_h1_ro6";"war1_1_h1_ro7";"war1_1_h1_ro8";"war1_1_h1_ro9";"war1_1_h1_ro10";"war1_1_h1_ro11";"war1_1_h1_ro12";"war1_2_h1_ro1";"war1_2_h1_ro2";"war1_2_h1_ro3";"war1_2_h1_ro4";"war1_2_h1_ro5";"war1_2_h1_ro6";"war1_2_h1_ro7";"war1_2_h1_ro8";"war1_2_h1_ro9";"war1_2_h1_ro10";"war1_2_h1_ro11";"war1_2_h1_ro12";"war1_3_h1_ro1";"war1_3_h1_ro2";"war1_3_h1_ro3";"war1_3_h1_ro4";"war1_3_h1_ro5";"war1_3_h1_ro6";"war1_3_h1_ro7";"war1_3_h1_ro8";"war1_3_h1_ro9";"war1_3_h1_ro10";"war1_3_h1_ro11";"war1_3_h1_ro12";"war1_4_h1_ro1";"war1_4_h1_ro2";"war1_4_h1_ro3";"war1_4_h1_ro4";"war1_4_h1_ro5";"war1_4_h1_ro6";"war1_4_h1_ro7";"war1_4_h1_ro8";"war1_4_h1_ro9";"war1_4_h1_ro10";"war1_4_h1_ro11";"war1_4_h1_ro12";"war1_5_h1_ro1";"war1_5_h1_ro2";"war1_5_h1_ro3";"war1_5_h1_ro4";"war1_5_h1_ro5";"war1_5_h1_ro6";"war1_5_h1_ro7";"war1_5_h1_ro8";"war1_5_h1_ro9";"war1_5_h1_ro10";"war1_5_h1_ro11";"war1_5_h1_ro12";"war1_6_h1_ro1";"war1_6_h1_ro2";"war1_6_h1_ro3";"war1_6_h1_ro4";"war1_6_h1_ro5";"war1_6_h1_ro6";"war1_6_h1_ro7";"war1_6_h1_ro8";"war1_6_h1_ro9";"war1_6_h1_ro10";"war1_6_h1_ro11";"war1_6_h1_ro12";"war1_7_h1_ro1";"war1_7_h1_ro2";"war1_7_h1_ro3";"war1_7_h1_ro4";"war1_7_h1_ro5";"war1_7_h1_ro6";"war1_7_h1_ro7";"war1_7_h1_ro8";"war1_7_h1_ro9";"war1_7_h1_ro10";"war1_7_h1_ro11";"war1_7_h1_ro12";"war1_8_h1_ro1";"war1_8_h1_ro2";"war1_8_h1_ro3";"war1_8_h1_ro4";"war1_8_h1_ro5";"war1_8_h1_ro6";"war1_8_h1_ro7";"war1_8_h1_ro8";"war1_8_h1_ro9";"war1_8_h1_ro10";"war1_8_h1_ro11";"war1_8_h1_ro12";"war1_9_h1_ro1";"war1_9_h1_ro2";"war1_9_h1_ro3";"war1_9_h1_ro4";"war1_9_h1_ro5";"war1_9_h1_ro6";"war1_9_h1_ro7";"war1_9_h1_ro8";"war1_9_h1_ro9";"war1_9_h1_ro10";"war1_9_h1_ro11";"war1_9_h1_ro12";"war1_10_h1_ro1";"war1_10_h1_ro2";"war1_10_h1_ro3";"war1_10_h1_ro4";"war1_10_h1_ro5";"war1_10_h1_ro6";"war1_10_h1_ro7";"war1_10_h1_ro8";"war1_10_h1_ro9";"war1_10_h1_ro10";"war1_10_h1_ro11";"war1_10_h1_ro12";"war2rm1_h1_ro1";"war2rm1_h1_ro2";"war2rm1_h1_ro3";"war2rm1_h1_ro4";"war2rm1_h1_ro5";"war2rm1_h1_ro6";"war2rm1_h1_ro7";"war2rm1_h1_ro8";"war2rm1_h1_ro9";"war2rm1_h1_ro10";"war2rm1_h1_ro11";"war2rm1_h1_ro12";"war2g1_h1_ro1";"war2g1_h1_ro2";"war2g1_h1_ro3";"war2g1_h1_ro4";"war2g1_h1_ro5";"war2g1_h1_ro6";"war2g1_h1_ro7";"war2g1_h1_ro8";"war2g1_h1_ro9";"war2g1_h1_ro10";"war2g1_h1_ro11";"war2g1_h1_ro12";"war2rm2_h1_ro1";"war2rm2_h1_ro2";"war2rm2_h1_ro3";"war2rm2_h1_ro4";"war2rm2_h1_ro5";"war2rm2_h1_ro6";"war2rm2_h1_ro7";"war2rm2_h1_ro8";"war2rm2_h1_ro9";"war2rm2_h1_ro10";"war2rm2_h1_ro11";"war2rm2_h1_ro12";"war2g2_h1_ro1";"war2g2_h1_ro2";"war2g2_h1_ro3";"war2g2_h1_ro4";"war2g2_h1_ro5";"war2g2_h1_ro6";"war2g2_h1_ro7";"war2g2_h1_ro8";"war2g2_h1_ro9";"war2g2_h1_ro10";"war2g2_h1_ro11";"war2g2_h1_ro12";"war2rm3_h1_ro1";"war2rm3_h1_ro2";"war2rm3_h1_ro3";"war2rm3_h1_ro4";"war2rm3_h1_ro5";"war2rm3_h1_ro6";"war2rm3_h1_ro7";"war2rm3_h1_ro8";"war2rm3_h1_ro9";"war2rm3_h1_ro10";"war2rm3_h1_ro11";"war2rm3_h1_ro12";"war2g3_h1_ro1";"war2g3_h1_ro2";"war2g3_h1_ro3";"war2g3_h1_ro4";"war2g3_h1_ro5";"war2g3_h1_ro6";"war2g3_h1_ro7";"war2g3_h1_ro8";"war2g3_h1_ro9";"war2g3_h1_ro10";"war2g3_h1_ro11";"war2g3_h1_ro12";"war2rm4_h1_ro1";"war2rm4_h1_ro2";"war2rm4_h1_ro3";"war2rm4_h1_ro4";"war2rm4_h1_ro5";"war2rm4_h1_ro6";"war2rm4_h1_ro7";"war2rm4_h1_ro8";"war2rm4_h1_ro9";"war2rm4_h1_ro10";"war2rm4_h1_ro11";"war2rm4_h1_ro12";"war2g4_h1_ro1";"war2g4_h1_ro2";"war2g4_h1_ro3";"war2g4_h1_ro4";"war2g4_h1_ro5";"war2g4_h1_ro6";"war2g4_h1_ro7";"war2g4_h1_ro8";"war2g4_h1_ro9";"war2g4_h1_ro10";"war2g4_h1_ro11";"war2g4_h1_ro12";"war2rm5_h1_ro1";"war2rm5_h1_ro2";"war2rm5_h1_ro3";"war2rm5_h1_ro4";"war2rm5_h1_ro5";"war2rm5_h1_ro6";"war2rm5_h1_ro7";"war2rm5_h1_ro8";"war2rm5_h1_ro9";"war2rm5_h1_ro10";"war2rm5_h1_ro11";"war2rm5_h1_ro12";"war2g5_h1_ro1";"war2g5_h1_ro2";"war2g5_h1_ro3";"war2g5_h1_ro4";"war2g5_h1_ro5";"war2g5_h1_ro6";"war2g5_h1_ro7";"war2g5_h1_ro8";"war2g5_h1_ro9";"war2g5_h1_ro10";"war2g5_h1_ro11";"war2g5_h1_ro12";"v2_r1";"v2_r2";"v2_r3";"v2_r4";"v2_r5";"v2_r6";"v2_r7";"v2_r8";"v2_r9";"v2_r10";"v2_r11";"v2_r12";"v2_r13";"v2_r14";"v2_r15";"v2_r16";"v2_r17";"v2_r18";"v2_r19";"v2_r20";"v2_r21";"v2_r22";"v2_r23";"v2_r24";"v2_r25";"v2_r26";"v2_r27";"v2_r28";"v2_r29";"v2_r30";"v2_r31";"v2_r32";"v2_r33";"v2_r34";"v2_r35";"v2_r36"
"220";947;1;2;3;26;1;4;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;NA;0;1;1;1;1;1;NA;NA;1;NA;1;NA;3;1;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;3;4;4;4;4;4;4;4;4;2;4
"221";3012;1;2;4;35;4;6;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;0;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;3;4;4;3;3;3;4;4;3;3;3
"222";1290;1;1;3;25;3;3;NA;NA;NA;0;1;0;0;1;1;0;1;0;NA;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;NA;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;3;4;3;4;4;4;3;3;3;3;4;3;3;3;4;4;3;4;3;4;2;4;4;3;2;4;3;3;4;3;4;4;4;3;3;3
"223";1813;2;1;4;39;3;5;NA;NA;0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;0;NA;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;5;1;1;5;5;5;5;1;5;1;5;5;1;5;1;5;4;5;1;5;5;1;5;5;5;1;5;1;5;5;5;5;1;1;1;5
"224";3268;2;2;3;33;1;3;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;3;2;1;4;4;4;4;5;4;4;5;3;3;5;3;5;2;2;1;5;5;3;4;3;4;2;5;1;5;5;5;5;4;3;4;3
"225";881;1;1;3;29;2;1;NA;NA;0;NA;1;NA;NA;0;0;NA;NA;NA;NA;NA;0;NA;1;0;1;0;1;0;0;0;NA;0;0;0;0;0;0;0;NA;0;0;0;0;1;1;1;1;1;0;1;NA;1;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;NA;NA;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;4;2;4;2;5;4;4;5;4;5;4;4;4;5;4;4;4;4;3;4;3;4;5;5;3;3;3;5;5;4;4;4;4;4;3;4
"226";1052;1;2;3;33;3;6;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;1;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;NA;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;NA;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;5;2;2;4;4;4;3;2;3;4;3;4;3;4;2;4;2;3;2;4;4;2;4;4;3;2;3;2;3;4;4;4;2;2;4;3
"227";5188;2;1;3;28;4;6;NA;NA;0;1;0;1;0;0;0;NA;NA;1;NA;1;1;0;0;1;0;0;1;NA;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;NA;0;0;0;1;1;1;1;NA;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;NA;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;NA;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;0;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;4;1;1;4;4;3;4;1;4;1;4;4;1;5;1;4;2;4;1;4;1;1;5;5;5;1;4;1;5;4;4;4;1;1;1;5
"228";1530;2;1;4;36;4;2;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;0;1;0;NA;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;NA;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;5;2;3;4;4;4;5;5;3;3;5;4;4;5;2;5;3;5;1;5;5;3;4;5;4;2;4;2;4;5;5;4;2;2;5;4
"229";747;1;1;3;28;1;2;NA;NA;NA;1;0;0;1;NA;1;1;1;1;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;4;3;4;3;3;4;3;4;4;4;3;4;3;3;3;3;3;4;3;3;2;3;3;4;3;4;4;2;4;4;2;3;3;3;4;5
"230";548;2;2;3;26;3;5;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;NA;NA;0;1;1;NA;1;1;NA;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;1;NA;NA;0;1;0;1;0;0;0;0;NA;0;NA;NA;NA;NA;NA;0;0;1;0;0;0;NA;0;0;0;0;1;0;0;0;0;0;1;0;0;0;NA;1;0;0;NA;0;NA;0;NA;0;0;0;0;1;1;0;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"231";1324;1;2;4;35;1;2;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;NA;0;NA;NA;1;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;NA;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;NA;0;1;0;0;0;0;1;0;1;1;1;0;NA;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;NA;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;4;2;3;5;4;4;4;4;3;2;2;5;3;4;3;4;3;4;4;5;4;4;4;3;4;2;3;2;4;4;4;5;3;3;2;4
"232";831;1;2;4;35;5;6;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;1;0;1;0;1;0;1;0;1;0;1;NA;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;NA;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;NA;0;0;NA;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;NA;0;0;1;0;0;1;0;1;1;0;1;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;5;3;4
"233";1004;2;2;6;56;1;6;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;NA;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;1;1;5;2;1;5;4;4;5;2;4;1;4;4;2;5;4;5;2;5;1;5;5;2;4;4;4;1;5;2;5;5;4;5;2;2;1;5
"234";751;1;2;2;23;4;4;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;NA;1;0;0;1;1;0;1;1;0;1;4;2;3;2;4;3;3;3;3;2;4;5;3;4;3;4;3;4;2;4;4;3;3;3;4;3;4;2;4;4;3;4;3;4;4;4
"235";1004;2;2;4;42;1;6;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;NA;NA;0;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;NA;1;0;0;1;1;NA;1;1;0;NA;1;1;1;NA;1;0;1;1;NA;NA;NA;1;0;1;1;0;0;0;1;1;1;1;1;1;1;NA;NA;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;1;1;1;4;3;3;1;3;4;4;4;2;4;2;2;3;3;3;4;3;2;3;4;4;1;4;3;3;2;3;3;4;3;3;3;4;4;2;3
"236";766;1;2;2;23;4;4;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;0;0;1;1;1;0;0;1;0;1;1;0;0;0;1;1;NA;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;NA;0;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;NA;0;0;1;1;0;0;0;1;1;0;0;NA;1;1;0;NA;1;1;1;0;0;0;0;NA;0;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;4;3;4;3;3;3;3;2;4;3;2;4;4;4;3;3;4;3;3;4;2;3;3;3;3;2;3;3;4;3;3;4;3;4;3;3
"237";658;1;2;3;32;1;6;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;NA;0;0;0;0;0;0;1;1;NA;1;1;0;NA;NA;NA;NA;NA;NA;1;NA;0;0;1;NA;0;0;1;0;1;NA;0;1;NA;1;1;0;NA;0;0;0;1;NA;1;0;0;0;NA;0;NA;1;1;1;NA;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;NA;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;NA;0;0;0;4;4;4;4;3;4;4;4;4;4;2;4;4;5;4;5;3;4;4;4;4;4;4;4;4;4;4;3;4;4;5;3;4;4;4;5
